country_ko,iso3,voting_method,portal_name,url,http_status,site_type,data_location,crawl_method,api_endpoint,extract_fields,sql_feasibility,priority,already_implemented,notes
브라질,BRA,DRE,PNCP (Compras.gov.br),https://pncp.gov.br/app/editais,200,REST API (공개),JSON 응답,API 직접 호출,https://pncp.gov.br/api/consulta/v1/contratacoes/publicacoes?dataInicial=&dataFinal=&pagina=1,"공고번호,제목,발주기관,마감일,금액,URL",High,P1,0,OCDS 유사 구조. 인증 불필요. 페이지당 20건. totalRegistros 필드로 전체 건수 파악
브라질,BRA,DRE,TSE 조달공고,https://www.tse.jus.br/transparencia/gestao-de-contratacoes,빈응답(WAF),JS-SPA + WAF,JS 렌더 후 테이블,Playwright,없음(XHR 탐색 필요),"계약번호,객체,공급업체,금액,기간",Med,P2,0,Cloudflare WAF 차단 추정. Playwright + User-Agent 우회 필요
파라과이,PRY,DRE,DNCP (Contrataciones),https://www.contrataciones.gov.py/,200,REST API (OCDS),JSON 응답,API 직접 호출 (이미 구현),https://www.contrataciones.gov.py/datos/api/v3/doc/,"공고번호,제목,발주기관,마감일,금액,상태",High,P1,1,parse_paraguay_dncp() 이미 구현 완료. OCDS v1.1 표준
베네수엘라,VEN,DRE,SNC,https://www.snc.gob.ve/,200,정적HTML,HTML 테이블 (불안정),requests(정적),없음,"공고번호,제목,발주기관,마감일",Low,P3,0,실질 공개입찰 거의 없음. CNE-Smartmatic 독점계약. 모니터링 의미 낮음
베네수엘라,VEN,DRE,CNE,https://www.cne.gob.ve/,ECONNREFUSED,접근불가,—,불가,없음,—,Low,Skip,0,연결 거부. 외부 IP 차단. 크롤링 불가
DRC(콩고),COD,EVM,ARMP (marchepublic.cd),https://marchepublic.cd/,502,서버 오류(일시적),HTML 테이블(복구 후),requests(정적),없음(복구 후 재확인),"공고번호,제목,발주기관,마감일,유형",Med,P2,0,502 Bad Gateway — 서버 불안정. 복구 후 정적 HTML 파싱 가능. Miru 공급국이므로 모니터링 필수
부탄,BTN,EVM,e-GP Bhutan,https://www.egp.gov.bt/,200,정적HTML (서버사이드),HTML 테이블,requests(정적),https://www.egp.gov.bt/resources/common/TenderListing.jsp?h=t,"공고번호,제목,발주기관,게시일,마감일,상태",Med,P2,0,JSP 서버사이드 렌더. JavaScript 최소. TenderListing.jsp 직접 접근
부탄,BTN,EVM,ECB Tender,https://www.ecb.bt/tender-information/,200,WordPress 정적HTML,HTML 목록+PDF,requests(정적),없음(WordPress REST API 가능: /wp-json/wp/v2/posts?categories=tender),"제목,게시일,마감일,PDF링크",High,P1,0,WordPress. /wp-json/wp/v2/ API로 JSON 추출 가능. 소규모(10건 미만)
인도,IND,EVM,eProcure (CPPP),https://eprocure.gov.in/eprocure/app,200,정적HTML,HTML 테이블 (15분 주기 갱신),requests(정적),없음(직접 파싱),"공고번호,제목,발주기관,입찰마감일,문서비용",Med,P2,0,ECI EVM 조달은 BEL·ECIL 정부간 직접계약이 주. eProcure에서 유지보수 등 부수 공고
인도,IND,EVM,ECI Tender,https://www.eci.gov.in/notification/tenders,403,Cloudflare/WAF 차단,—,Playwright (WAF 우회),없음,"제목,게시일,마감일,PDF링크",Low,P3,0,403 Forbidden. eProcure 대체 권장. ECI 직접 조달은 드묾
알바니아,ALB,EVM,APP e-Procurement,https://app.gov.al/e-procurement/,200,JSF 정적HTML,HTML 테이블,requests(정적),없음(직접 파싱),"공고번호,제목,발주기관,마감일,유형,금액",Med,P2,0,JSF ViewState 처리 필요. Smartmatic EVM 계약갱신 공고 게시처
알바니아,ALB,EVM,KQZ (CEC Albania),https://kqz.gov.al/,200,WordPress 정적HTML,게시판 목록,requests(정적),/wp-json/wp/v2/posts?search=prokurimi,"제목,게시일,PDF링크",High,P1,0,WordPress. 조달 관련 포스트 카테고리 필터로 추출. 소규모
벨기에,BEL,EVM,e-Notification Belgium,https://enot.publicprocurement.be/enot-war/,ECONNREFUSED,접근불가(방화벽),—,TED EU API 대체,TED API: https://ted.europa.eu/api/v3.0/notices/search (이미 구현),"공고번호,제목,발주기관,마감일,금액",Med,P2,1,직접 접근 불가. 그러나 TED(유럽조달저널) API에 벨기에 공고 포함 → 기존 TED 파서로 대체
오만,OMN,EVM,Tender Board Oman,https://etendering.tenderboard.gov.om,200,정적HTML+JS,HTML 테이블 (탭/필터),requests + JS탭처리,없음(직접 파싱 또는 Playwright),"공고번호,제목,발주기관,마감일,상태(Active/Closed)",Med,P2,0,2023 완전디지털화. 내무부 선거장비 공고 포함. 아랍어/영어 병행
UAE,ARE,EVM,Federal e-Procurement,https://procurement.gov.ae,200,JS-SPA (Vue/React 추정),JS 렌더 후 테이블,Playwright,없음(XHR 탐색 필요),"공고번호,제목,발주기관,마감일,금액",Med,P2,0,2021년 개설. NEC 선거 조달 건수 적음(FNC 선거 소규모)
UAE,ARE,EVM,UAE NEC,https://uaenec.ae/en,200,정적HTML,정보성 사이트,—,없음,—,N/A,Skip,0,NEC는 감독기관. 조달 공고 없음. procurement.gov.ae가 실제 조달처
가나,GHA,OMR,Ghana e-Procurement (GHANEPS),https://www.ghaneps.gov.gh/epps/home.do,200,Struts 정적HTML,"HTML 테이블 (93건+, 10건/페이지)",requests(정적),https://www.ghaneps.gov.gh/epps/quickSearchAction.do?searchSelect=6,"공고번호(resourceId),제목,발주기관,마감일,절차유형,상태,PDF링크",High,P1,0,Struts 구형 프레임워크. 정적 HTML 테이블. 93건 공개. 키워드 필터 가능
가나,GHA,OMR,EC Ghana,https://ec.gov.gh/,200,WordPress,보도자료만,—,없음,—,N/A,Skip,0,조달공고 없음. 선거정보·보도자료 사이트. GHANEPS가 실제 조달처
남아공,ZAF,OMR,eTenders Treasury,https://etenders.treasury.gov.za/,404,접근불가,—,—,없음,—,Low,Skip,0,404 Not Found. URL 변경됐을 가능성. 대안: https://www.etenders.gov.za/
남아공,ZAF,OMR,IEC South Africa,https://www.elections.org.za/,403,Cloudflare 차단,—,Playwright+UA변경,없음,"공고번호,제목,마감일,금액",Low,P3,0,403. IEC는 자체 조달공고 게시(VotaQuotes 등). Playwright 우회 시 가능
도미니카공화국,DOM,OMR,DGCP ComprasDominicana,https://www.dgcp.gob.do/consultas/,200,HTML+JS SPA,JS 렌더 후 테이블,Playwright,대안: https://datosabiertos.dgcp.gob.do/api/ (오픈API),"공고번호,제목,발주기관,마감일,금액,상태",Med,P2,0,오픈데이터 API(datosabiertos.dgcp.gob.do) 별도 존재. API 우선 탐색 권장
도미니카공화국,DOM,OMR,JCE,https://jce.gob.do/,405,GET 불허,—,POST 또는 Playwright,없음,—,Low,P3,0,405 Method Not Allowed. GET 차단. JCE 자체 조달은 DGCP 통합 가능성
몽골,MNG,OMR,State Procurement (tender.gov.mn),https://www.tender.gov.mn/en,403,접근차단,—,우회(VPN/Playwright),대안: http://www.e-tender.mn/en/tenders/ (HTTP 허용),"공고번호,제목,발주기관,마감일",Low,P3,0,403. e-tender.mn(부)으로 대체. HTTP(80포트) 허용됨
몽골,MNG,OMR,GPA e-Tender (e-tender.mn),http://www.e-tender.mn/en/tenders/,301→HTTP,정적HTML (HTTP 허용),HTML 목록,"requests (verify=False, HTTP)",없음,"공고번호,제목,발주기관,마감일,유형",Med,P2,0,HTTPS→HTTP 다운그레이드. requests로 접근 가능. SSL 검증 비활성화 필요
