country,iso3,has_elections,last_election_date,next_election_date,voting_method,biometric_voter_reg,biometric_voter_verify,electronic_results_tx,evoting,vendor,confidence,source,notes
Algeria,DZA,Limited,2024-09-07,2026-07-02,Paper,N,N,N,N,,Med,IFES/Wikipedia,"ANIE 관리; 2024년 Tebboune 84.3% 재선; 제한적 경쟁; 2026 총선 예정"
Angola,AGO,Limited,2022-08-24,2027-08,Paper,Y,N,N,N,,Med,AU EOM 2022/SADC,"CNE; 2022년 총선(MPLA 51.2%); 생체등록은 MAT 민사 DB 연계; 다음 선거 2027년경"
Benin,BEN,Limited,2026-04-12,,Paper,Y,N,N,N,ANIP,Med,Xinhua/BeninWebTV,"CENA; ANIP이 유권자 명부 관리(통합 국가등록 시스템); 2026 대선 Wadagni 94.05% 단독 경쟁"
Botswana,BWA,Y,2024-10-30,,Paper,N,N,N,N,,High,Wikipedia/IEC Botswana,"IEC; 2024년 10월 BDP 첫 패배 정권교체(Duma Boko 당선); 투표지 봉투+투표함 방식; 생체등록 미확인"
Burkina Faso,BFA,N,2022-11-21,,,,,,,,Low,Freedom House 2025/IDEA,"2022년 쿠데타(Traore); 2029년까지 전환 연장; CENI 해산(2025.7); 정당 금지; 선거 없음"
Burundi,BDI,Limited,2025-05-21,,Paper,Y,N,N,N,,Med,IFES/Wikipedia,"CENI; 2025년 5월 총선(CNDD-FDD 지배); 생체유권자 등록 존재; 경쟁 제한적"
Cabo Verde,CPV,Y,2026-05-17,2026-11-15,Paper,Y,N,N,N,,Med,Wikipedia/Stears,"CNE; 2026.5.17 총선(MpD 재집권); 2026.11 대선 예정; 아프리카 모범 민주주의"
Cameroon,CMR,Limited,2025-10-12,,Paper,Y,N,N,N,ELECAM(Dell/FAP60),High,BiometricUpdate 2025/ELECAM,"ELECAM; 2025.10.12 대선(Biya 8선 재선); 1,000개 새 생체키트(Dell+FAP60) 도입; 유권자 820만 명 중복제거 진행중"
Central African Republic,CAF,Limited,2025-12-14,,Paper,Y,N,N,N,GenKey,High,BiometricUpdate 2024/Wikipedia,"ANE; 2025.12.14 대선(Touadéra 3선 76.15%); GenKey 공급 3,000개 태블릿 생체등록; 지역 치안 불안"
Chad,TCD,Limited,2024-05-06,,Paper,Y,N,N,N,,Med,Wikipedia/Africa Center,"CENI; 2024.5.6 대선(Déby fils 61%); 2021 쿠데타 후 전환 선거; 경쟁 제한적"
Comoros,COM,Limited,2024-01-14,,Paper,Y,N,N,N,,Med,IFES EG 2024/IDEA,"CENI; 2024.1.14 대선(Assoumani 57~63% 논란); 결과 불일치; 생체등록 존재"
Congo (Republic),COG,Limited,2026-03-15,,Paper,Y,N,N,N,SmartAfric,Med,OKF Blog/Wikipedia,"CENI; 2026.3.15 대선(Sassou Nguesso 5선 95%); 생체키트 86개 지역 배치; SmartAfric 데이터 통합"
DRC,COD,Limited,2023-12-20,,Mixed,Y,N,Y,Y,"Gemalto/Neurotechnology",High,IFES 2023/Carter Center,"CENI; 2023.12.20 총선+대선(Tshisekedi 재선); DEV(Dispositif Électronique de Vote) 전자투표기 사용; Gemalto 22,000 생체키트; 결과 온라인 공개"
Djibouti,DJI,Limited,2026-04-10,,Paper,N,N,N,N,,Med,AU EOM/IGAD 2026,"CENI; 2026.4.10 대선(Guelleh 6선); 유권자 26만 명; 생체등록 미확인; 경쟁 없는 선거"
Egypt,EGY,Limited,2023-12-10,,Paper,Y,N,N,N,,Med,IFES/Wikipedia,"NPEA; 2023.12.10 대선(Sisi 89.6%); 생체국가ID 연계 유권자 등록; 경쟁 극히 제한"
Equatorial Guinea,GNQ,Limited,2022-11-20,,Paper,N,N,N,N,,Low,Wikipedia IFES,"GEC; 2022.11.20 총선+대선(Obiang 95%); 생체등록 미확인; 국제 참관 거부; 1인 지배"
Eritrea,ERI,N,1993-04-23,,,,,,,,,Low,Wikipedia/Freedom House,"마지막 전국선거 1993년 독립 국민투표; Isaias Afwerki PFDJ 1당 독재; 헌법 미시행; 국가 선거 전무"
Eswatini,SWZ,N,2023-09-29,,Paper,N,N,N,N,,Med,Freedom House 2024,"절대 왕정(Mswati III); 2023.9 의회 선거는 팅쿤들라 체제(정당 금지); 실질적 민주 선거 없음"
Ethiopia,ETH,Limited,2026-06-01,,Paper,Y,N,N,N,NEBE(Mirchaye앱),High,Xinhua/Al Jazeera 2026,"NEBE; 2026.6.1 총선(Abiy PP 압승); Mirchaye 디지털 등록 최초 도입(550만 명 디지털 등록); 야권 보이콧; 제한적 경쟁"
Gabon,GAB,Limited,2025-04-12,,Paper,Y,N,N,N,,Med,CNN/Al Jazeera 2025,"2023 쿠데타 후 전환; 2025.4.12 대선(Oligui Nguema 90.35% 전환 선거); 생체등록 존재 추정"
Gambia,GMB,Y,2021-12-04,2026-12,,Paper,Y,N,N,N,,Med,IEC Gambia/dubawa 2026,"IEC; 2021.12.4 대선(Barrow 재선); 2026.12 대선 예정; 2026 추가 등록 70만+ 신규; 이중등록 24,058건 탐지"
Ghana,GHA,Y,2024-12-07,,OMR,Y,Y,Y,N,"GenKey/STL",High,BiometricUpdate 2024/EC Ghana,"EC; 2024.12.7 총선+대선(Mahama 당선); GenKey BVD 생체 투표소 인증; STL 현장 운용; 결과 디지털 전송"
Guinea,GIN,Limited,2025-12-28,,Paper,Y,N,N,N,Innovatrics,High,Al Jazeera/France24 2025,"DGE(CENI 폐지); 2025.12.28 대선(Doumbouya 86.7%, 쿠데타 리더 전환 선거); Innovatrics ABIS 생체등록"
Guinea-Bissau,GNB,Limited,2024-06-04,,Paper,Y,N,N,N,,Low,Africa Center 2024,"CNE; 2024.6.4 대선(Embalo 재선); 생체등록 존재 추정; 기술 벤더 미확인"
Ivory Coast,CIV,Limited,2025-10-25,,Paper,Y,Y,N,N,,High,IRI/Wikipedia 2025,"CEI; 2025.10.25 대선(Ouattara 91% 재선); 생체등록(EU 지원) 및 투표소 인증; Paper 투표 후 디지털 전송; 야권 보이콧"
Kenya,KEN,Y,2022-08-09,2027-08,,Paper,Y,Y,Y,N,Smartmatic/IDEMIA,High,Carter Center 2022/Privacy International,"IEBC; KIEMS(Smartmatic): 생체등록+전자 신원확인+결과 전송; 2022 46,229개 투표소 배치; IDEMIA 데이터 보유 논란"
Lesotho,LSO,Y,2022-10-07,2027-10,,Paper,Y,N,N,N,,Med,IEC Lesotho/UNDP,"IEC; 2022.10.7 총선(ABC 당선); 생체등록(10지문+사진); 투표소 인증 미확인; 다음 선거 2027년경"
Liberia,LBR,Y,2023-10-10,,Paper,Y,N,N,N,"Neurotechnology/Aratek",High,Neurotechnology PR/BiometricUpdate 2024,"NEC; 2023.10.10 대선(Boakai 결선 당선); Neurotechnology ABIS+Aratek 기기로 생체등록; 투표 당일 인쇄 명부 수동 확인"
Libya,LBY,N,2014-06-25,,,,,,,,Low,Wikipedia/OMCT 2024,"HNEC; 2021.12 선거 무기한 연기; GNU vs GNS 이중 정부; 2024-2025 지방선거만 일부; 전국 선거 없음"
Madagascar,MDG,Limited,2023-11-16,,Paper,N,N,N,N,,Med,CENI-Madagascar/Freedom House,"CENI+HCC; 2023.11.16 대선(Rajoelina 재선); 생체등록 미확인(UNDP 지원 디지털화 진행); 야권 보이콧"
